# snapshot: frozen residual required-copy retirement selector
# source-revision: 29f3298b0cd0bbd5efea4c01ca592041a2be92e4
# raw-selector-canonical-sha256: d412dfc70f1830fafe8388f33d42057722999d5f34876b6cfd16a629bd6b7abb
# canonical-bytes: 31254
# canonical-sha256: d412dfc70f1830fafe8388f33d42057722999d5f34876b6cfd16a629bd6b7abb
# audit-mapping-bytes: 55610
# audit-mapping-sha256: 30c00f2b96f79c5fe4ff64fa42d01767a46288eb0ebf1c92727259460cae1829
source_file	helper	assertion_name	literal	resolved_target	target_defaulted	disposition	rationale
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rcv): reads receiving_review key via config-get.sh (anchor pattern)"""	"""config-get.sh .receiving_review.fix_severity_threshold critical"""	"""/__pin_corpus_runtime__/ST_RCV"""	false	RETAIN_BOUNDARY	Retain severity-routing boundary: sev(rcv): reads receiving_review key via config-get.sh (anchor pattern) fixes the named threshold, fail direction, or calibration rule.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(raf): enum-validates the threshold inline (value-only case)"""	"""critical|important|suggestion)"""	"""/__pin_corpus_runtime__/ST_RAF"""	false	RETAIN_BOUNDARY	Retain severity-routing boundary: sev(raf): enum-validates the threshold inline (value-only case) fixes the named threshold, fail direction, or calibration rule.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rev): enum-validates the threshold inline (value-only case)"""	"""critical|important|suggestion)"""	"""/__pin_corpus_runtime__/ST_REV"""	false	RETAIN_BOUNDARY	Retain severity-routing boundary: sev(rev): enum-validates the threshold inline (value-only case) fixes the named threshold, fail direction, or calibration rule.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rcv): enum-validates the threshold inline (value-only case)"""	"""critical|important|suggestion)"""	"""/__pin_corpus_runtime__/ST_RCV"""	false	RETAIN_BOUNDARY	Retain severity-routing boundary: sev(rcv): enum-validates the threshold inline (value-only case) fixes the named threshold, fail direction, or calibration rule.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rcv): carve-out re-opens at every threshold value"""	"""re-opens the diff at every threshold value"""	"""/__pin_corpus_runtime__/ST_RCV"""	false	RETAIN_BOUNDARY	Retain severity-routing boundary: sev(rcv): carve-out re-opens at every threshold value fixes the named threshold, fail direction, or calibration rule.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rev): out-of-enum fallback breadcrumb"""	"""is not one of critical/important/suggestion; using default 'critical'"""	"""/__pin_corpus_runtime__/ST_REV"""	false	RETIRE_PROSE	Retire wording-only assertion: sev(rev): out-of-enum fallback breadcrumb.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rcv): out-of-enum fallback breadcrumb"""	"""is not one of critical/important/suggestion; using default 'critical'"""	"""/__pin_corpus_runtime__/ST_RCV"""	false	RETIRE_PROSE	Retire wording-only assertion: sev(rcv): out-of-enum fallback breadcrumb.
"""lib/test/run.sh"""	assert_pin_unique	"""sev(rcv): resolver-failure breadcrumb"""	"""could not read .receiving_review.fix_severity_threshold"""	"""/__pin_corpus_runtime__/ST_RCV"""	false	RETIRE_PROSE	Retire wording-only assertion: sev(rcv): resolver-failure breadcrumb.
"""lib/test/run.sh"""	assert_pin_unique	"""263(A5): receiving-code-review carries the shared 'contradicts the diff' definitional phrase"""	"""stale, contradicts HEAD, or contradicts another part of this change"""	"""/__pin_corpus_runtime__/ST_RCV"""	false	RETAIN_BOUNDARY	Retain operational boundary: 263(A5): receiving-code-review carries the shared 'contradicts the diff' definitional phrase protects the named executable or safety condition, not prose presentation.
"""lib/test/run.sh"""	assert_pin_unique	"""#379(AC1): receiving-code-review states the negative-test attribution rule"""	"""distinct signal whenever more than one guard can reject the input"""	"""skills/receiving-code-review/SKILL.md"""	false	RETIRE_PROSE	Retire wording-only assertion: #379(AC1): receiving-code-review states the negative-test attribution rule.
"""lib/test/run.sh"""	assert_pin_unique	"""#379(AC2): receiving-code-review states the positive-control rule"""	"""carries a positive control on the same fixture, so a rejection from an unrelated precondition cannot masquerade as the rejection under test"""	"""skills/receiving-code-review/SKILL.md"""	false	RETIRE_PROSE	Retire wording-only assertion: #379(AC2): receiving-code-review states the positive-control rule.
"""lib/test/run.sh"""	assert_pin_unique	"""#379(AC3): receiving-code-review requires a mutation check before completion"""	"""mutation-check every new test before completion is claimed"""	"""skills/receiving-code-review/SKILL.md"""	false	RETAIN_BOUNDARY	Retain completion-evidence boundary: #379(AC3): receiving-code-review requires a mutation check before completion defines evidence required before a completion claim.
"""lib/test/run.sh"""	assert_pin_unique	"""#379(AC5): share-the-contract fires — name the protected operation before the predicate"""	"""name the downstream operation the guard protects, in the code, before writing the predicate"""	"""skills/receiving-code-review/SKILL.md"""	false	RETIRE_PROSE	Retire wording-only assertion: #379(AC5): share-the-contract fires — name the protected operation before the predicate.
"""lib/test/run.sh"""	assert_pin_unique	"""#379(AC5): share-the-contract fires — grep the file for an existing idiom first"""	"""before writing any new predicate over a string or shape, grep the file for an existing idiom doing the same job"""	"""skills/receiving-code-review/SKILL.md"""	false	RETIRE_PROSE	Retire wording-only assertion: #379(AC5): share-the-contract fires — grep the file for an existing idiom first.
