# source_revision	9cf3b4ef9dcd3887386232697ffe3fa9bf643d72
# master_sha256	eb0f713a451e9e606db7ae8533b923bc2c7e16a673cb5aa40569b31d4c2df29c
path	helper	logical_call	line_start	line_end	identity_sha256	disposition	rationale
lib/test/modules/regenerate-artifacts.sh	_ra_conflict_red_under	"_ra_conflict_red_under \"#655 a flipped class is caught (by-hand -> regenerate)\" \\\n  'conflict-class\tcoverage-map-ratchet\tby-hand' \\\n  's/\"conflict_class\": \"by-hand\"/\"conflict_class\": \"regenerate\"/g'"	1186	1188	6493953617fbc0748f1d528a769129bddd706736871213498c218671d0bdab30	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/modules/regenerate-artifacts.sh	_ra_conflict_red_under	"_ra_conflict_red_under \"#655 dropping a row's conflict_paths entry leaves its artifact uncovered\" \\\n  'conflict-path\tcoverage-map-ratchet\tlib/test/modules/coverage-map.json' \\\n  's/\"conflict_paths\": \\(\"lib\\/test\\/modules\\/coverage-map.json\",\\)/\"conflict_paths\": ()/'"	1220	1222	cd000a5735a98dab2d7cf4af6167a823ab55b8bd1649ba99f7f18ebcd95fbdcd	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/modules/regenerate-artifacts.sh	_ra_conflict_red_under	"_ra_conflict_red_under \"#655 the conflict-class emit is what produces those lines\" \\\n  'conflict-class\tcoverage-map-ratchet\tby-hand' \\\n  's/^([[:space:]]*)print\\(f\"conflict-class.*$/\\1pass/'"	1170	1172	773c694960dc8b3d0157098b277e5ce69e70b8e298ddb2ed7afa194a9114a136	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/modules/regenerate-artifacts.sh	_ra_conflict_red_under	"_ra_conflict_red_under \"#655 the coupled_by_hand tuple is what produces the sibling line\" \\\n  'conflict-sibling\tcapability-profile-literals\tlib/review-profile.tokens\tby-hand' \\\n  's/\"coupled_by_hand\": \\(\\(\"lib\\/review-profile.tokens\", \"by-hand\"\\),\\)/\"coupled_by_hand\": ()/'"	1298	1300	b6306602df7f51703c351ef1681e955ec00435629532ea9df2bbbfeaa7bd0433	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/modules/regenerate-artifacts.sh	_ra_conflict_red_under	"_ra_conflict_red_under \"#655 the workflow literals come from the generator-sourced derivation\" \\\n  'conflict-path\tcapability-profile-literals\t.github/workflows/devflow-runner.yml' \\\n  's/_row\\[\"conflict_paths_extra\"\\] = _capability_region_targets/pass/'"	1227	1229	bf9fad8a7a3e1f7eabfef637531c647c877bd442ff8d033d0f0c0e3cc73a97b2	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/run.sh	assert_count_red_under	"assert_count_red_under 'tally' 'ACRU_START sentinel' 'ACRU_END sentinel' 'MATCH' -eq 2 's/ACRU_START sentinel/ACRU_START_GONE/' \"$ACRU_FX\")\""	2778	2778	3db5530cadb4b6f9736cf3abb76645300c2733a287efd57d723b83beb4cff8d5	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/run.sh	assert_count_red_under	"assert_count_red_under \"#687 extract-command-heads emit-helper guard A: no raw stdout write in the shared extraction helpers\" \\\n  '^def _fenced_bash_blocks\\(text: str\\) -> list\\[str\\]:' \\\n  '^def _emit\\(sink: list\\[str\\], line: str\\) -> None:' \\\n  'sys\\.stdout\\.write|os\\.write\\(1|print\\(.*file=sys\\.stdout|print\\(' \\\n  -eq 0 \\\n  's/heads\\.extend\\(extract_heads/print(\"leak\"); heads.extend(extract_heads/' \\\n  \"$_ECH687\""	32626	32632	e1b06d78765f7b4af817de611bcadebbaa2868a5ae41d9c83038bb5e8af9fd5f	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/run.sh	assert_count_red_under	"assert_count_red_under \"#687 extract-command-heads emit-helper guard B: no raw stdout write in the ungranted arm\" \\\n  '^    if argv\\[1:2\\] == \\[\"ungranted\"\\]:' \\\n  '^        return 3 if strict and sink else 0' \\\n  'sys\\.stdout\\.write|os\\.write\\(1|print\\(.*file=sys\\.stdout|print\\(' \\\n  -eq 0 \\\n  's/_emit\\(sink, name\\)/print(name)/' \\\n  \"$_ECH687\""	32633	32639	9a3ff928b4ef3fb130d1b4b93584de8137b3fa6869366829c2b6b1499587341b	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/run.sh	assert_count_red_under	"assert_count_red_under \"#687 pin-corpus-lint emit-helper guard: no raw stdout write in the run_lint.._emit_wrapped_or_absent range\" \\\n  '^def run_lint\\(' \\\n  '^def parse_diff\\(' \\\n  'sys\\.stdout\\.write|os\\.write\\(1|print\\(.*file=sys\\.stdout|print\\(' \\\n  -eq 0 \\\n  's/sys\\.stderr\\.write\\(f\"RESOLVED-COUNT/print(f\"RESOLVED-COUNT/' \\\n  \"$_PCL687\""	32610	32616	2d8275d45a27368198dead82dff33049279641d0dfb11b97c711301137f94c71	retain_executable_boundary	purpose-built helper observes mutated behavior
lib/test/run.sh	assert_pin_red_under	"assert_pin_red_under 'ic-pin' 'ICLINE operative content here' '/ICLINE/d' \"$_736_ICP\" )\""	33299	33299	3d87c9425873fd95a08025c0f6b802e430445e9bf63e116ac684d3a4795d4c5f	retain_helper_infrastructure_boundary	outer executable assertion verifies helper failure diagnostics
lib/test/run.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under 'ic-mod' 'ICLINE operative content here' '/ICLINE/d' \"$_736_ICP\" )\""	33304	33304	510a4b23d191fcae604152c478b5566a054a487bd8c9bb6e85421338b934923d	retain_helper_infrastructure_boundary	outer executable assertion verifies helper failure diagnostics
