# source_revision	18177bfd42ed23d803954086fe3e75a9b6555be4
path	helper	logical_call	line_start	line_end	identity_sha256
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443/#600: consumer audit dimensions are re-loaded FRESH at dispatch time (renderer-native)\" \\\n  'The re-load remains mandatory-fresh at dispatch' \\\n  's/mandatory-fresh//' \"$CI_BUNDLE\""	277	279	e159c5632623823b4cbc8614a45abb81e74b102ebb1192fdf02e1e03b2001711
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: Step 3.6 dispatch waits for the completed result (synchronous)\" \\\n  \"wait for the subagent's completed result before proceeding\" \\\n  's/completed result before proceeding//' \"$CI_BUNDLE\""	253	255	d6373f2967ca5320cb9ffd1d004333a915baded61eda3a60cc5ad36237471b21
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: Step 3.6 mandates the FILE/REVISE/DRAFT-UNREADABLE verdict line\" \\\n  'whose only three legal values are exactly' 's/legal values are exactly//' \"$CI_TMPL_AUDIT\""	230	231	efa5ffd67fd0c00b3b2ad74d8332ee5d95ca7ca03f4aa8b81a471a0c36d3e4f1
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: Step 4 presentation gate confirms this run's audit artifact exists\" \\\n  'confirm `.devflow/tmp/issue-audit-<slug>.md` is present' \\\n  's/is present//' \"$CI_BUNDLE\""	317	319	688c8388ea25b95aba7076c83d11250031a3216eea5c1aaaa08599ceecbaab99
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: Step 4 revision loop offers a fresh re-audit\" \\\n  '**offer a fresh re-audit** via the runner' \\\n  's/\\*\\*offer a fresh re-audit\\*\\* via the runner/skip any re-audit and proceed via the runner/' \\\n  \"$CI_BUNDLE\""	271	274	ad441bda4d501208c07bf9205aec13c2d15bd1a65670637bf6d6aad86f523577
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: audit artifact deletes any same-slug leftover before writing\" \\\n  'deleting any same-slug leftover first' 's/deleting any same-slug leftover first//' \"$CI_BUNDLE\""	322	323	368e1dfcd1de4f8473db16165c2cd461ec798d5eaa0bf3c72c64588cc0444f0d
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: audit prompt omits conversation, Step 1 findings, and the derivation artifact\" \\\n  'omits the drafting conversation, the Step 1 findings report, and the Step 2 derivation artifact' \\\n  's/omits the drafting conversation//' \"$CI_BUNDLE\""	244	246	98a32a4e94916ab3798cf7ff7bf44d5554703537aa2a3b9a4afd864f319e20d6
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: audit summary line is the mandatory never-silent evidence\" \\\n  'the summary line is the evidence the audit ran and which arm it took' \\\n  's/the evidence the audit ran and which arm it took//' \"$CI_SKILL\""	312	314	a246f47e1d0cae06d11dea17a648d99a18837cb4195af81aebac2ad9ff4fb2f3
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: bounded re-audit never deadlocks filing\" \\\n  'the audit informs, it never deadlocks filing' 's/never deadlocks filing//' \"$CI_BUNDLE\""	303	304	33020b762907d94f59dc0d7f8fe10f324c82d7dec9c3da00fdd95b5cb739a430
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: degraded arm is attempt-first, never pre-detected\" \\\n  'never pre-detect a nested context and skip' \\\n  's/never pre-detect a nested context and skip//' \"$CI_BUNDLE\""	263	265	f1a1721c5742a28f2f96ebae42ca09b591759ddb2562279add1264d870e84fa8
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#443: on-disk drafting artifacts are declared out of bounds (findings void)\" \\\n  'any finding derived from those files is void' 's/derived from those files is void//' \"$CI_BUNDLE\""	249	250	a6eb531e3c3cf69ab048300ca030ff2b4d21d46b006452b301bf1ec9d3a09c47
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#465 (a): Step 3.5 names the within-text multi-state-contract reconciliation target\" \\\n  'no summary or table form lists fewer causes for a state than the detailed per-state ACs' \\\n  's/lists fewer causes for a state/REMOVED/' \"$CI_BUNDLE\""	982	984	12f79bbe2d3aca10e79b9d1a2399e447ae21b958710cfed99445e5b1589642df
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#465 (b): template folds the every-enumerated-contract-state-maps-to-an-AC clause\" \\\n  'every state a multi-state contract enumerates' \\\n  's/multi-state contract enumerates/CONTRACT/' \"$CI_TMPL\""	986	988	25395ad26e1ab5aa93008a322858d420afb2642647e7d822507db810430d9232
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#465 (c): extension sharpens Coupled mirror sites — source reconciled before propagation\" \\\n  'the source form must itself be internally reconciled before it is propagated' \\\n  's/internally reconciled before it is propagated/IGNORED/' \"$CI_EXT\""	990	992	62fbe2f331db0a107db8eb4b142cfebc42a60b118c9afbb232da8e29a3bfc466
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#465 (d): SYSTEM_OVERVIEW §11 Self-steelman enumeration includes the new target\" \\\n  'unstated scope, and an unreconciled multi-state contract' \\\n  's/an unreconciled multi-state contract/REMOVED/' \"$CI_OVERVIEW\""	994	996	1c3b01f1ceeca947f2fb51755d7cd8283b8b475f9338d06a8b8a4fb7bc6d0b56
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#465 (e): Step 3.5 target scopes to the draft's own forms (no not-yet-written-implementation claim)\" \\\n  'makes **no** claim to catch a state that only a not-yet-written implementation will emit' \\\n  's/not-yet-written implementation will emit/REMOVED/' \"$CI_BUNDLE\""	998	1000	9539f526a34bcb2280c8806e90969cd443bccc7700803bcf52e0c60ef0c6a29e
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#465 (f): Step 3.5 target draws no new hunt/question/revision on a non-contract draft\" \\\n  'a draft that states none draws no new hunt, question, or revision' \\\n  's/draws no new hunt, question, or revision/REMOVED/' \"$CI_BUNDLE\""	1002	1004	f45f6ecb580285bf46c2a2301cfa96d8aea2805a91fcecb64bc4b219beb93e82
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#522/#600: template reads the draft file as the sole draft source (amended two-transport ordering)\" \\\n  'Read the draft file `{DRAFT_PATH}` as the sole draft source' \\\n  's/as the sole draft source//' \"$CI_TMPL_AUDIT\""	404	406	e2afda5abeb73dd97011a3fa364059b1ec2e9eb06530ff70c51656287fa33b10
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#522: Step 3.6 writes the canonical draft file before every dispatch\" \\\n  'write the current rendered draft title + body to the canonical draft file' \\\n  's/ to the canonical draft file//' \"$CI_BUNDLE\""	399	401	22dc3b1827c1362412b068bb01e20ddc8b61478f159572aad802dd5fc024f777
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#522: a held trigger offers one more audit round at the Step 3.6->4 boundary\" \\\n  'While **any** holds, **offer one more audit round via the runner' \\\n  's/While \\*\\*any\\*\\* holds, \\*\\*offer one more audit round/While any holds, proceed to Step 4 without offering a round/' \\\n  \"$CI_BUNDLE\""	426	429	3020bdb5b944ba882e663ffa6ecdbf2b26178852da3a76ba49f289bc378e1c0e
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#522: draft file is NOT on the file-arm out-of-bounds list\" \\\n  'is **not** on the file-arm out-of-bounds list' \\\n  's/is \\*\\*not\\*\\* on the file-arm out-of-bounds list/is on the file-arm out-of-bounds list/' \"$CI_BUNDLE\""	409	411	ad684ded38ef8020c8f9c6ca9b712908450fc0fbb5a76dfb167e570e7dcbc2a1
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#522: write-landing is confirmed explicitly, never inferred from the absence of an error\" \\\n  'rather than inferring it from the absence of an error — a read-only sandbox can leave the surrounding turn looking successful while `stage` refuses the write or `apply` answers `agree=no`' \\\n  's/ rather than inferring it from the absence of an error — a read-only sandbox can leave the surrounding turn looking successful while `stage` refuses the write or `apply` answers `agree=no`//' \\\n  \"$CI_BUNDLE\""	719	722	4bc7b72e960a3d6fdcc8e1cc762f6cc982ec231090a0f30c48f107024414ad1b
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#546: an absent carriage object ID is forwarded as absent, never invented\" \\\n  'Omit `--carriage-object-id` when the return quoted none' \\\n  's/Omit `--carriage-object-id` when the return quoted none — an absent value is evidence the tool needs, and inventing one would manufacture the proof the check exists to demand\\.//' \\\n  \"$CI_BUNDLE\""	677	680	a933ad910031fcb78be9fa8e3c8d1fe0f253f77c4a4f93e4f608b3bef1f5cef4
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#546: an unparseable return is never mapped onto a verdict token\" \\\n  'Never map an unparseable return onto a verdict token yourself, and never pass a token the auditor did not emit' \\\n  's/Never map an unparseable return onto a verdict token yourself, and never pass a token the auditor did not emit; the tool validates the token fail-closed against its closed set\\.//' \\\n  \"$CI_BUNDLE\""	735	738	c76f98658592a3c8a7be587d8f1c0eaebc80f33e61d1388ca5e2e9b1f0a7c25f
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#546: presentation eligibility is the tool's answer, never prose-decided\" \\\n  'is presented for approval only after `query-eligibility --mode approve` answers `eligible=yes`' \\\n  's|\\*\\*A draft you are certain is clean is presented for approval only after `query-eligibility --mode approve` answers `eligible=yes`\\.\\*\\* ||' \\\n  \"$CI_BUNDLE\""	369	372	f8506ec63b68764ce9cb490053744ed19f043542e51d9e1f28fad2fa8ddd3786
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#546: the embed arm brackets the body with the tool-generated sentinels only\" \\\n  'Bracket the embedded body with **exactly those printed tokens** — never tokens you choose yourself' \\\n  's/ — never tokens you choose yourself, which would compare against a value the tool never recorded//' \\\n  \"$CI_BUNDLE\""	697	700	ebb00e58d9c00ab0c8db2326a3f127a946a035dc70b9118f36c1ed2f5f03e27f
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#559: always-run trigger carries the at-every-revision-event qualifier\" \\\n  'runs **at every revision event** — before any re-audit dispatch at that site and before any presentation of the revised draft' \\\n  's/at every revision event/sometimes/' \"$CI_BUNDLE\""	1202	1204	905e6743b9ae9d78b03377282219d342c7d6b7e692717e7d9680e8455662c745
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#749/AC11: the degraded arm is bounded, breadcrumbed, and never terminates the run\" \\\n  'It never terminates the run and never presents a half-verification as whole.' \\\n  's/It never terminates the run and never presents a half-verification as whole\\.//' \"$CI_SKILL\""	1576	1578	100b3d6caaaa3303604b7166bfcfffa9adfd50d0cd1769e9f43d60671add0811
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#749/AC12: an unresolvable helper anchor routes to the degraded arm\" \\\n  'or one whose helper anchor cannot resolve' \\\n  's/ — or one whose helper anchor cannot resolve —//' \"$CI_SKILL\""	1579	1581	8d2826ab2d8e708eb643f73f7f4a8b18999f04c519673104931cd00ee23b1fcf
lib/test/modules/create-issue-contract.sh	devflow_module_pin_red_under	"devflow_module_pin_red_under \"#749/AC19: a topic engaging NO duty routes to the shallow arm, not to no pass at all\" \\\n  'and the arm for a topic engaging **no** duty' \\\n  's/, and the arm for a topic engaging \\*\\*no\\*\\* duty//' \"$CI_SKILL\""	1528	1530	9a51f2d9c7f75f6bdb9c2b41c33dea47914dcbdfef3b763cac4ab6ac72c807c0
