adjudication_key	base_state	current_state
literal:03dd692a3dcfbc75fe06e44e0f7b204a74427d2008ab022655632b71c7584a16	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the fail-closed limb in loop-exit.md stating that an empty or errored `git diff` is not exempt. This is the exemption's own fail-closed condition, which is exactly the class this repo will not let lapse silently; read only by the agent, so it fails closed.""]"
literal:093155d7346ab4d418a9382a7aeed835c4d8954f9069509cb50c4f46bbe16541	null	"[""boundary"",""maintainer adjudication (#946): newly visible; the pinned literal contains the module id 'review-and-fix-contract' in an invocation of lib/test/run-module.sh. That id is machine-consumed: scripts/workflow-flight-recorder-registry.json registers it with this module's path and lib/test/run-shard.sh names it in the modules-rest shard, so the literal is a live cross-file routing identifier and not only prose.""]"
literal:154ff9b5eac6cda80bc2ef6b7130d39e122155f1ca207e865ec993c9ebab76da	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the named degraded path 'hand-runs the review engine via direct `Agent` dispatch' in skills/review-and-fix/references/error-handling.md. It names the bypass the telemetry obligation must still cover; agent-read only, so it fails closed.""]"
literal:1558ce6398bed02fc459f37ee84180710a6c1d1174bc1ce1d0a61ea4d7b10ca1	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the accounting rule in shadow-review.md that a promoted iteration 2 counts toward the cap. It is the sentence that keeps promotion from evading MAX_ITERS, whose clamp this module tests executably; the prose itself has no parser, so it fails closed.""]"
literal:1a7b2f8cfffa4e0d69bbb82cce56dd104c7e69b66d1a404a98ef3acc79b4e783	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'type <fn> >/dev/null 2>&1' recipe inside guard-class shape 1 of the review-and-fix prompt extension, which is the sourceability probe the extension tells the reviewer to demand. Loaded by scripts/load-prompt-extension.sh; the literal is read by the agent, not parsed, so it fails closed.""]"
literal:1ae854487412857ef81de0bc90b83c44bc4c323de5f8949841a8817e852d1b5d	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the mutation-check evidence requirement in fixing.md ('the behavior you broke and the executable test you observed go RED'). Its twin obligation in skills/receiving-code-review/SKILL.md is separately pinned and already adjudicated a completion-evidence boundary, so this copy is retained on the same ground.""]"
literal:2fdee39b645560a2be3f42952185c7ab0c95b46a8caeadecba82a4a91f1cc03e	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the logs-only post-shadow exemption limb in skills/review-and-fix/references/loop-exit.md. The literal is also carried by .devflow/logs/red-on-removal-retirement-manifest.tsv, so a frozen retirement record references it; agent-read prose otherwise, fails closed.""]"
literal:3163f27c204c785532025d6dc9e3cf5ce49352eb2535fac7bad79deba2dd75ea	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the no-fix-iteration bypass ('skip the gate for that iteration') in fix-delta-gate.md. It is the gate's one sanctioned exemption, so its wording bounds the exemption; agent-read only, fails closed.""]"
literal:3da4182939b6b7d0357cf6fed60048f6ee9889ca79679e90d70bc4cab06e6acc	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the integer-validation ERE in the shipped max_iterations recipe at skills/review-and-fix/references/loop-control.md, which the agent executes. The coupling is real and in-module: _raf_maxi_clamp reimplements that recipe and its clamp assertions (non-integer and float fall back to 5) are only tied to the shipped text by this pin.""]"
literal:5375c2064ada5b76f158e82ed6d96086fdb7bc25a65ffef018ed09f227ef4833	null	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the '\""$MAX_ITERS\"" -lt 1' below-floor branch of the same loop-control.md recipe, mirrored by the _raf_maxi_clamp 'zero floors to one' and 'negative floors to one' assertions in this module. The pin is the only link between the tested mirror and the shipped recipe.""]"
